coffee_id,total_cup_points,cupper_points,aroma,flavor,aftertaste,acidity,body,balance,moisture
1,90.58,8.75,8.67,8.83,8.67,8.75,8.5,8.42,0.12
2,89.92,8.58,8.75,8.67,8.5,8.58,8.42,8.42,0.12
3,89.75,9.25,8.42,8.5,8.42,8.42,8.33,8.42,0.0
4,89.0,8.67,8.17,8.58,8.42,8.42,8.5,8.25,0.11
5,88.83,8.58,8.25,8.5,8.25,8.5,8.42,8.33,0.12
6,88.83,8.33,8.58,8.42,8.42,8.5,8.25,8.33,0.11
7,88.75,8.5,8.42,8.5,8.33,8.5,8.25,8.25,0.11
8,88.67,9.0,8.25,8.33,8.5,8.42,8.33,8.5,0.03
9,88.42,8.67,8.67,8.67,8.58,8.42,8.33,8.42,0.03
10,88.25,8.5,8.08,8.58,8.5,8.5,7.67,8.42,0.1
11,88.08,8.58,8.17,8.67,8.25,8.5,7.75,8.17,0.1
12,87.92,8.5,8.25,8.42,8.17,8.33,8.08,8.17,0.0
13,87.92,8.33,8.08,8.67,8.33,8.42,8.0,8.08,0.0
14,87.92,8.58,8.33,8.42,8.08,8.25,8.25,8.0,0.0
15,87.83,8.5,8.25,8.33,8.5,8.25,8.58,8.75,0.05
16,87.58,8.17,8.0,8.5,8.58,8.17,8.17,8.0,0.0
17,87.42,8.33,8.33,8.25,7.83,7.75,8.5,8.42,0.03
18,87.33,8.83,8.17,8.33,8.25,8.33,8.42,8.33,0.05
19,87.25,8.42,8.42,8.25,8.08,8.17,7.92,8.0,0.1
20,87.25,8.33,8.17,8.17,8.0,8.17,8.08,8.33,0.0
21,87.25,8.17,8.0,8.25,8.08,8.5,8.25,8.0,0.0
22,87.17,8.33,8.08,8.25,8.0,8.17,8.0,8.33,0.11
23,87.17,8.58,8.17,8.25,8.17,8.0,7.83,8.17,0.13
24,87.08,8.17,8.25,8.33,8.17,8.17,7.83,8.17,0.0
25,87.08,8.08,8.42,8.17,7.92,8.17,8.33,8.0,0.11
26,86.92,7.92,8.5,8.5,8.0,8.0,8.0,8.0,0.12
27,86.92,8.25,7.83,8.25,8.08,8.17,8.17,8.17,0.05
28,86.83,8.17,8.42,8.17,8.17,8.17,7.83,7.92,0.12
29,86.67,8.25,8.17,8.08,8.08,8.0,8.08,8.0,0.1
30,86.58,8.17,8.0,8.0,8.0,8.25,8.0,8.17,0.0
31,86.58,8.0,7.92,8.25,8.0,8.33,8.0,8.08,0.08
32,86.5,8.17,8.42,8.17,8.17,8.0,7.58,8.0,0.11
33,86.42,8.0,8.5,8.17,8.0,7.75,8.0,8.0,0.12
34,86.33,8.42,8.17,7.83,8.0,8.08,7.83,8.0,0.0
35,86.25,8.08,8.0,8.08,7.92,8.0,8.08,8.08,0.1
36,86.25,8.08,8.08,8.0,8.0,8.25,7.92,7.92,0.12
37,86.25,8.33,8.08,8.17,8.0,7.92,7.92,7.83,0.0
38,86.25,8.25,8.25,8.42,8.08,7.75,7.67,7.83,0.0
39,86.25,8.17,7.92,7.75,8.08,8.08,8.08,8.17,0.1
40,86.17,8.08,7.67,8.17,8.0,8.0,8.17,8.08,0.0
41,86.17,8.42,7.83,8.33,7.83,8.25,7.58,7.92,0.1
42,86.17,8.08,8.17,7.92,7.92,7.75,8.33,8.0,0.08
43,86.17,8.17,8.42,7.92,8.0,7.75,7.92,8.0,0.01
44,86.08,8.42,8.08,8.17,7.75,8.08,7.75,7.83,0.12
45,86.08,8.0,8.08,8.08,8.0,8.0,7.83,8.08,0.11
46,86.08,8.0,8.33,8.0,8.0,8.0,7.75,8.0,0.11
47,86.0,8.08,8.08,8.08,7.83,7.92,8.08,7.92,0.0
48,86.0,8.17,7.75,7.92,7.83,8.08,8.08,8.17,0.12
49,86.0,8.17,7.92,8.17,7.83,8.5,7.5,7.92,0.11
50,86.0,7.92,8.25,8.0,7.83,8.08,8.0,7.92,0.1
51,86.0,7.92,7.75,8.08,8.0,8.25,8.0,8.0,0.01
52,86.0,8.17,8.33,8.17,7.75,8.0,7.75,7.83,0.0
53,85.92,8.0,7.92,8.08,7.92,8.08,8.08,7.83,0.1
54,85.92,8.0,8.17,8.17,7.92,8.08,7.83,7.75,0.12
55,85.92,7.92,8.0,8.0,8.0,8.17,7.83,8.0,0.0
56,85.83,8.0,8.0,8.0,7.92,8.08,7.83,8.0,0.08
57,85.83,8.0,7.83,8.08,7.92,8.08,8.0,7.92,0.1
58,85.83,8.0,7.83,8.0,8.0,8.17,7.83,8.0,0.12
59,85.83,8.0,8.0,8.0,7.83,8.33,7.83,7.83,0.1
60,85.75,8.0,7.83,8.0,7.83,8.17,7.92,8.0,0.09
61,85.75,8.0,8.0,8.0,8.0,8.08,7.92,7.75,0.1
62,85.75,7.92,8.33,8.42,7.83,8.33,8.0,8.25,0.12
63,85.58,8.0,7.92,8.17,8.0,7.92,7.75,7.83,0.1
64,85.58,7.92,7.83,8.0,8.0,7.75,7.92,8.17,0.11
65,85.58,8.0,7.83,8.0,7.92,7.75,8.08,8.0,0.0
66,85.5,7.83,8.0,7.75,7.83,7.83,7.67,8.58,0.09
67,85.5,8.0,7.92,7.92,7.83,8.08,7.83,7.92,0.1
68,85.5,8.0,7.83,8.0,7.83,7.92,7.83,8.08,0.12
69,85.5,8.08,8.33,7.92,7.67,7.92,7.67,7.92,0.12
70,85.5,7.83,8.0,7.83,7.67,8.33,7.83,8.0,0.11
71,85.42,8.08,7.75,7.83,7.83,8.17,7.92,7.83,0.1
72,85.42,8.0,8.08,8.0,7.83,7.67,8.0,7.83,0.12
73,85.42,8.25,7.92,7.92,7.75,7.92,7.75,7.92,0.0
74,85.42,8.0,8.0,8.0,8.0,7.67,7.75,8.0,0.11
75,85.42,7.92,8.08,7.83,7.83,8.08,7.83,7.83,0.01
76,85.33,7.92,8.0,8.0,8.0,7.83,7.83,7.75,0.1
77,85.33,7.83,7.83,7.75,7.83,7.67,7.83,8.58,0.11
78,85.33,8.0,7.92,8.08,8.0,7.92,8.0,8.08,0.0
79,85.33,7.92,8.0,7.58,7.58,7.67,8.08,8.5,0.1
80,85.33,7.92,7.83,8.08,7.75,8.08,7.92,7.75,0.0
81,85.33,7.83,8.0,7.92,7.92,8.08,7.83,7.75,0.0
82,85.33,8.08,7.83,7.83,7.92,8.08,7.75,7.83,0.05
83,85.33,8.0,7.92,7.83,7.75,8.33,7.75,7.75,0.1
84,85.25,7.83,8.0,7.92,7.75,8.0,7.92,7.83,0.1
85,85.25,7.92,8.17,7.92,7.83,8.0,7.58,7.83,0.11
86,85.25,7.92,7.58,8.08,7.92,7.83,8.0,7.92,0.12
87,85.17,8.0,7.75,7.83,7.67,8.0,8.08,7.83,0.11
88,85.17,7.92,8.25,8.0,7.67,7.92,7.75,7.67,0.0
89,85.08,7.83,7.75,8.0,7.58,8.0,8.0,7.92,0.11
90,85.08,7.67,8.17,7.83,7.58,8.08,8.0,7.75,0.0
91,85.08,8.08,8.42,8.0,7.42,8.0,7.92,7.92,0.1
92,85.08,7.92,7.58,7.83,7.83,7.92,7.83,8.17,0.11
93,85.08,8.08,7.83,8.0,7.75,7.75,7.83,7.83,0.11
94,85.08,8.17,8.08,8.17,7.92,8.0,8.08,8.0,0.01
95,85.08,7.83,7.67,8.0,7.83,8.0,7.92,7.83,0.0
96,85.08,7.92,7.5,7.92,8.25,7.83,7.92,7.75,0.0
97,85.0,8.0,8.17,7.92,7.75,7.75,7.67,7.75,0.11
98,85.0,7.83,8.0,7.92,7.75,7.92,7.75,7.83,0.0
99,85.0,7.92,7.83,8.0,7.58,7.92,7.92,7.83,0.12
100,85.0,8.08,7.83,8.0,7.83,7.75,7.67,7.83,0.09
101,85.0,7.83,8.17,7.83,7.92,7.75,7.67,7.83,0.11
102,85.0,7.83,7.75,7.83,7.75,8.08,8.0,7.75,0.0
103,85.0,8.0,8.0,8.0,7.83,7.83,7.67,7.67,0.12
104,85.0,7.83,7.92,8.17,7.75,8.08,7.42,7.83,0.0
105,85.0,7.83,7.75,7.92,7.75,7.75,8.0,8.0,0.0
106,85.0,8.0,7.83,8.08,7.67,8.0,7.75,7.67,0.04
107,84.92,7.83,7.92,7.92,7.67,7.83,7.92,7.83,0.0
108,84.92,7.83,7.92,7.83,7.75,7.83,7.75,8.0,0.12
109,84.92,7.92,7.67,7.83,8.0,7.58,8.0,7.92,0.11
110,84.92,7.83,8.0,7.83,7.83,7.92,7.75,7.75,0.12
111,84.92,7.92,7.75,7.92,7.83,7.75,7.75,8.0,0.11
112,84.92,8.17,7.75,8.0,7.75,7.83,7.5,7.92,0.11
113,84.92,7.75,8.0,7.92,7.75,7.75,8.0,7.75,0.11
114,84.92,7.92,8.0,8.0,7.75,8.0,7.5,7.75,0.12
115,84.92,7.58,8.0,7.67,7.83,8.17,7.92,7.75,0.06
116,84.83,8.0,7.92,7.58,7.83,7.83,7.83,7.83,0.0
117,84.83,7.83,7.75,7.92,7.67,7.67,8.25,7.75,0.12
118,84.83,8.08,7.67,7.75,7.75,7.75,7.83,8.0,0.0
119,84.83,8.0,7.75,7.92,7.83,7.92,7.75,7.67,0.1
120,84.83,7.92,7.42,7.92,7.92,8.0,7.83,7.83,0.1
121,84.75,8.0,7.75,7.75,7.75,7.75,8.0,7.75,0.12
122,84.75,7.92,7.92,7.83,7.58,7.92,7.75,7.83,0.13
123,84.75,8.17,7.83,7.75,8.0,7.67,7.67,7.67,0.11
124,84.75,7.75,7.75,8.0,8.0,8.33,7.67,7.92,0.15
125,84.75,8.5,7.83,7.58,7.58,7.83,7.75,7.67,0.18
126,84.67,8.0,7.83,7.83,7.5,8.0,7.83,7.67,0.0
127,84.67,7.92,7.92,7.83,7.75,7.75,7.75,7.75,0.12
128,84.67,8.08,7.75,7.75,7.75,7.42,8.08,7.83,0.12
129,84.67,7.92,8.08,7.75,7.67,7.83,7.5,7.92,0.1
130,84.67,7.83,7.75,7.83,7.58,8.0,7.92,7.75,0.1
131,84.67,7.92,8.17,8.0,7.83,7.17,7.83,7.75,0.12
132,84.67,7.92,8.08,7.83,7.75,7.83,7.58,7.67,0.1
133,84.67,7.67,7.67,7.58,7.75,7.75,7.67,8.58,0.08
134,84.67,8.0,8.0,7.58,7.83,7.75,7.75,7.75,0.11
135,84.67,7.92,8.08,7.83,7.75,7.83,7.92,8.0,0.0
136,84.67,7.75,8.0,7.92,7.75,7.75,7.75,7.75,0.11
137,84.67,7.92,7.75,7.83,7.75,7.83,7.75,7.83,0.0
138,84.67,7.83,7.75,7.92,7.83,8.0,7.58,7.75,0.11
139,84.67,7.67,8.0,7.83,7.67,7.83,7.67,8.0,0.11
140,84.67,8.0,7.67,7.83,7.67,8.0,7.67,7.83,0.12
141,84.67,7.92,7.83,7.58,7.67,7.92,7.92,7.83,0.13
142,84.67,7.83,7.92,7.83,7.75,7.92,7.67,7.75,0.11
143,84.67,7.92,7.67,7.83,7.75,7.75,7.92,7.83,0.0
144,84.67,7.83,7.42,7.75,7.75,8.0,8.0,7.92,0.2
145,84.58,7.83,7.92,7.75,7.83,7.75,7.58,7.92,0.11
146,84.58,8.08,7.83,7.67,7.58,7.92,7.67,7.83,0.0
147,84.58,7.75,7.92,7.83,7.58,8.0,7.83,7.67,0.0
148,84.58,7.92,7.83,7.83,7.83,7.75,7.58,7.83,0.1
149,84.58,7.83,7.75,7.83,7.67,7.92,7.75,7.83,0.11
150,84.58,8.17,8.0,7.92,7.67,7.58,7.58,7.67,0.09
151,84.58,7.83,7.67,7.67,7.58,7.75,7.58,8.5,0.0
152,84.58,7.92,7.75,7.75,7.83,7.75,7.58,8.0,0.0
153,84.58,7.75,7.75,7.75,7.75,8.08,7.75,7.75,0.0
154,84.58,7.75,7.67,7.83,7.83,8.0,7.58,7.92,0.0
155,84.58,7.75,7.75,7.83,7.75,8.0,7.83,7.67,0.12
156,84.58,8.08,7.42,7.67,7.75,7.75,8.08,7.83,0.11
157,84.58,7.75,8.0,8.0,7.75,7.75,7.58,7.75,0.12
158,84.58,7.5,8.5,8.0,7.5,7.75,7.5,7.83,0.11
159,84.5,8.0,7.92,7.67,7.92,7.75,7.67,7.58,0.1
160,84.5,7.83,7.92,7.75,7.67,7.75,7.83,7.75,0.11
161,84.5,7.92,7.75,7.92,7.67,7.83,7.75,7.67,0.1
162,84.5,7.92,7.92,7.83,7.83,7.83,7.58,7.58,0.11
163,84.5,7.75,8.08,7.67,7.83,7.83,7.67,7.67,0.12
164,84.5,7.92,7.67,8.0,7.75,7.83,7.75,7.58,0.0
165,84.5,7.5,8.17,7.83,7.67,7.83,7.67,7.83,0.11
166,84.5,7.67,7.92,7.83,7.67,8.0,7.67,7.75,0.11
167,84.5,7.92,8.0,7.92,7.42,8.08,7.5,7.67,0.12
168,84.5,7.67,7.92,7.83,7.75,7.75,7.75,7.83,0.11
169,84.5,7.83,7.67,8.0,7.67,8.0,7.5,7.83,0.11
170,84.5,8.13,7.81,7.81,7.88,7.75,7.38,8.25,0.0
171,84.5,7.75,8.17,7.67,7.75,7.75,7.67,7.75,0.0
172,84.42,7.92,7.58,7.83,7.83,8.0,7.67,7.58,0.1
173,84.42,8.0,7.67,7.67,7.83,7.58,7.83,7.83,0.0
174,84.42,7.67,7.92,7.83,7.75,7.67,7.92,7.67,0.0
175,84.42,7.75,7.92,7.75,7.67,7.92,7.67,7.75,0.0
176,84.42,7.75,7.83,7.83,7.75,8.0,7.5,7.75,0.11
177,84.42,7.83,7.92,7.92,7.5,7.83,7.5,7.92,0.11
178,84.42,7.83,7.75,7.92,7.75,7.67,7.83,7.67,0.12
179,84.42,7.75,7.5,7.75,7.83,7.92,7.92,7.75,0.2
180,84.33,8.17,7.33,7.58,7.83,7.75,7.75,7.92,0.11
181,84.33,7.58,7.92,8.0,7.75,7.67,7.67,7.75,0.1
182,84.33,7.5,7.58,7.75,7.5,7.83,7.67,8.5,0.0
183,84.33,7.83,7.58,7.92,7.58,7.75,7.92,7.75,0.11
184,84.33,7.83,7.67,7.67,7.75,7.83,7.75,7.83,0.0
185,84.33,7.33,7.75,7.67,8.0,7.67,8.08,7.83,0.11
186,84.33,8.17,7.75,7.58,7.33,7.83,7.58,8.08,0.0
187,84.33,7.83,8.0,7.75,7.75,7.83,7.5,7.67,0.12
188,84.33,7.75,8.17,8.0,7.5,7.75,7.5,7.67,0.0
189,84.33,7.92,8.0,8.0,7.5,7.5,7.67,7.75,0.02
190,84.33,7.75,7.75,7.75,7.92,7.75,7.5,7.92,0.0
191,84.33,7.92,7.5,7.67,7.75,7.67,7.92,7.92,0.04
192,84.25,7.67,7.92,7.75,7.75,7.67,7.67,7.83,0.12
193,84.25,8.0,7.83,7.75,7.75,7.42,7.83,7.67,0.12
194,84.25,7.83,7.83,7.58,7.75,7.58,7.67,8.0,0.11
195,84.25,7.75,7.75,7.75,7.58,7.92,7.75,7.75,0.11
196,84.25,7.75,7.75,7.92,7.5,8.08,7.58,7.67,0.1
197,84.25,7.75,7.83,7.83,7.58,7.75,7.75,7.75,0.1
198,84.25,7.83,7.67,7.67,7.75,7.75,7.67,7.92,0.11
199,84.25,7.75,7.83,7.67,7.75,7.58,7.92,7.75,0.12
200,84.25,7.83,7.83,7.75,7.83,7.58,7.67,7.75,0.12
201,84.25,7.83,7.42,7.67,7.83,7.75,7.92,7.83,0.12
202,84.25,7.83,7.83,7.67,7.75,7.83,7.67,7.67,0.12
203,84.25,7.75,7.83,7.75,7.75,7.75,7.67,7.75,0.12
204,84.25,7.83,7.83,7.83,7.5,7.92,7.58,7.75,0.1
205,84.25,7.83,7.58,7.5,7.75,7.83,7.92,7.83,0.11
206,84.25,7.83,7.33,7.92,7.92,7.92,7.92,8.08,0.11
207,84.25,7.75,7.83,7.92,7.67,7.83,7.5,7.75,0.12
208,84.25,7.75,7.83,7.83,7.75,7.67,7.83,7.58,0.12
209,84.25,7.83,7.83,7.92,7.67,7.75,7.5,7.75,0.1
210,84.25,7.67,8.17,7.75,7.58,7.67,7.83,7.58,0.13
211,84.17,7.75,7.75,7.83,7.58,7.83,7.67,7.75,0.13
212,84.17,7.75,7.83,7.75,7.58,7.67,7.75,7.83,0.0
213,84.17,8.0,7.92,7.75,7.67,7.67,7.5,7.67,0.09
214,84.17,7.58,7.75,7.75,7.58,8.0,7.67,7.83,0.11
215,84.17,7.67,7.75,7.92,7.58,7.92,7.67,7.67,0.1
216,84.17,7.83,7.58,7.83,7.58,7.83,7.83,7.67,0.1
217,84.17,7.67,8.0,7.5,7.5,7.67,8.0,7.83,0.0
218,84.17,7.83,7.67,7.83,7.83,7.5,7.67,7.83,0.12
219,84.17,7.75,7.67,7.75,7.75,7.67,7.83,7.75,0.0
220,84.17,7.83,7.67,7.75,7.67,7.75,7.5,8.0,0.0
221,84.17,7.75,7.5,7.92,7.58,7.83,7.75,7.83,0.1
222,84.17,7.67,7.92,7.75,7.75,7.75,7.75,7.58,0.13
223,84.17,7.5,7.67,7.5,7.67,7.42,7.83,8.58,0.12
224,84.17,7.83,7.67,7.75,7.67,7.75,7.75,7.75,0.11
225,84.17,7.75,7.58,7.75,7.75,7.75,7.75,7.83,0.08
226,84.17,7.67,7.58,7.83,7.75,7.67,7.67,8.0,0.11
227,84.17,7.42,7.92,7.75,7.67,7.67,7.83,7.92,0.11
228,84.17,7.92,8.42,8.08,7.5,7.17,7.58,8.17,0.11
229,84.17,7.58,7.75,7.75,7.75,7.75,7.83,7.75,0.0
230,84.17,7.67,7.83,7.5,7.5,8.0,7.83,7.83,0.11
231,84.17,7.67,7.83,7.75,7.5,7.83,7.83,7.75,0.11
232,84.13,7.75,7.81,7.88,7.56,7.75,7.63,7.75,0.12
233,84.08,7.5,7.83,7.5,7.42,7.5,7.83,8.5,0.0
234,84.08,7.92,7.58,7.67,7.67,7.67,7.75,7.83,0.1
235,84.08,7.67,8.0,7.75,7.5,7.58,7.92,7.67,0.1
236,84.08,7.67,7.92,7.75,7.67,7.75,7.67,7.67,0.0
237,84.08,7.67,7.58,7.75,7.67,8.0,7.75,7.67,0.1
238,84.08,8.0,7.83,7.75,7.83,7.83,7.42,8.08,0.11
239,84.08,7.83,7.67,7.75,7.67,7.75,7.67,7.75,0.11
240,84.08,7.92,7.92,7.92,7.83,8.0,7.92,7.92,0.09
241,84.0,7.67,7.58,7.75,7.67,7.75,7.83,7.75,0.08
242,84.0,7.92,7.83,7.75,7.67,7.75,7.33,7.75,0.11
243,84.0,7.75,7.42,7.83,7.75,7.92,7.75,7.58,0.1
244,84.0,7.58,7.67,7.83,7.58,7.92,7.75,7.67,0.12
245,84.0,7.83,7.67,7.67,7.83,7.58,7.58,7.83,0.11
246,84.0,7.5,7.92,7.67,7.42,7.92,7.75,7.83,0.1
247,84.0,7.83,7.75,7.83,7.5,7.83,7.58,7.67,0.1
248,84.0,7.83,7.67,7.75,7.67,7.67,7.67,7.75,0.12
249,84.0,7.67,7.58,7.42,7.75,7.92,7.75,7.92,0.12
250,84.0,8.33,7.67,7.67,7.5,7.5,7.67,7.67,0.12
251,84.0,7.83,7.75,7.75,7.5,7.58,7.67,7.92,0.09
252,84.0,7.92,7.58,7.83,7.67,7.25,8.0,7.75,0.1
253,84.0,7.67,7.67,7.83,7.67,7.75,7.67,7.75,0.11
254,84.0,7.67,7.67,7.83,7.5,7.75,7.92,7.67,0.0
255,84.0,8.42,7.92,8.17,8.17,8.42,8.08,8.17,0.12
256,84.0,7.67,7.67,7.75,7.67,7.75,7.83,7.67,0.0
257,84.0,7.58,7.92,7.75,7.58,7.67,7.67,7.83,0.1
258,84.0,8.0,7.58,7.75,7.58,7.75,7.58,7.75,0.06
259,83.92,8.5,7.5,7.75,7.58,7.5,7.58,7.5,0.0
260,83.92,7.83,7.83,7.83,7.58,7.92,7.42,7.5,0.11
261,83.92,7.83,7.67,7.75,7.5,7.67,7.67,7.83,0.1
262,83.92,7.83,7.58,7.67,7.67,7.75,7.58,7.83,0.11
263,83.92,7.83,7.83,7.75,7.83,7.75,7.83,7.75,0.11
264,83.92,7.67,7.75,7.67,7.5,7.75,7.83,7.75,0.11
265,83.92,7.58,7.75,7.58,7.5,7.83,7.75,7.92,0.0
266,83.92,7.67,7.75,7.75,7.58,7.75,7.75,7.67,0.0
267,83.92,7.75,7.92,7.67,7.5,7.83,7.58,7.67,0.0
268,83.92,7.67,7.83,7.75,7.58,7.58,7.75,7.75,0.0
269,83.92,7.58,7.75,7.58,7.67,7.83,7.83,7.67,0.0
270,83.92,7.17,8.0,7.92,7.92,7.92,7.67,7.33,0.06
271,83.92,7.5,7.67,7.83,7.67,7.75,7.67,7.83,0.12
272,83.92,7.67,7.67,7.75,7.58,7.67,7.75,7.83,0.12
273,83.92,7.83,7.5,7.67,7.58,7.83,7.75,7.75,0.11
274,83.92,7.75,7.75,7.92,7.83,7.92,7.75,7.67,0.0
275,83.83,7.75,7.92,7.58,7.5,7.83,7.58,7.67,0.0
276,83.83,7.58,7.83,7.67,7.5,7.75,7.75,7.75,0.0
277,83.83,7.83,7.67,7.67,7.75,7.67,7.5,7.75,0.0
278,83.83,7.67,7.75,7.75,7.5,7.75,7.83,7.58,0.11
279,83.83,7.75,7.75,7.67,7.5,7.75,7.75,7.67,0.0
280,83.83,8.0,7.25,7.58,7.42,8.0,7.75,7.83,0.0
281,83.83,7.83,7.67,7.75,7.67,7.75,7.42,7.75,0.0
282,83.83,7.75,7.75,7.75,7.67,7.67,7.58,7.67,0.12
283,83.83,8.08,7.67,7.67,7.58,7.5,7.83,8.17,0.0
284,83.83,7.67,7.83,7.42,7.5,7.83,7.75,7.83,0.1
285,83.83,7.75,7.58,7.83,7.33,8.0,7.58,7.75,0.1
286,83.83,7.75,7.92,7.5,7.33,7.67,8.17,7.5,0.1
287,83.83,7.67,7.5,7.67,7.58,7.75,7.83,7.83,0.09
288,83.83,7.92,7.67,7.58,7.58,7.83,7.58,7.67,0.11
289,83.83,7.67,7.5,7.83,7.5,7.83,7.83,7.67,0.11
290,83.83,7.92,7.67,8.0,7.67,7.42,7.67,7.5,0.1
291,83.83,7.83,7.67,7.58,7.5,7.75,7.75,7.75,0.11
292,83.83,7.83,7.83,7.83,7.58,7.67,7.5,7.58,0.12
293,83.83,7.5,7.75,7.75,7.58,8.0,7.67,7.58,0.02
294,83.83,7.75,7.5,7.83,7.58,7.58,7.75,7.83,0.01
295,83.83,7.5,7.58,7.83,7.58,8.0,7.83,7.5,0.1
296,83.75,7.83,7.75,7.58,7.5,7.58,7.75,7.75,0.11
297,83.75,7.75,7.67,7.67,7.58,7.75,7.67,7.67,0.11
298,83.75,7.75,7.83,7.83,7.58,7.58,7.58,7.58,0.11
299,83.75,7.75,7.67,7.67,7.58,7.58,7.67,7.83,0.0
300,83.75,7.67,7.92,7.75,7.5,7.67,7.75,7.5,0.0
301,83.75,7.75,7.83,7.75,7.67,7.5,7.58,7.67,0.1
302,83.75,7.75,7.75,7.67,7.5,7.67,7.58,7.83,0.0
303,83.75,7.67,8.0,7.92,7.58,7.75,7.33,7.5,0.12
304,83.75,7.75,7.83,7.83,7.83,7.67,8.0,8.17,0.12
305,83.75,7.67,7.67,7.67,7.67,7.92,7.5,7.67,0.0
306,83.75,7.5,7.67,7.42,7.42,7.42,8.0,8.33,0.0
307,83.75,7.75,7.58,7.67,7.75,7.67,7.67,7.67,0.0
308,83.75,7.58,7.75,7.67,7.75,7.58,7.42,8.0,0.11
309,83.75,7.75,7.25,7.42,7.67,7.58,7.83,8.25,0.0
310,83.75,7.83,7.83,7.58,7.58,7.5,7.75,7.67,0.13
311,83.75,7.75,7.67,7.58,7.58,7.67,7.75,7.75,0.11
312,83.75,8.08,7.83,7.83,7.58,7.33,7.42,7.67,0.1
313,83.75,7.75,7.75,7.67,7.25,7.25,7.58,8.5,0.06
314,83.75,7.75,7.83,7.67,7.75,7.67,7.58,7.5,0.0
315,83.67,7.83,7.67,7.83,7.5,7.67,7.67,7.5,0.11
316,83.67,7.75,8.08,7.67,7.67,7.58,7.25,7.67,0.11
317,83.67,7.33,7.5,7.5,7.67,7.67,8.0,8.0,0.1
318,83.67,7.5,7.67,7.75,7.67,7.67,7.83,7.58,0.1
319,83.67,7.83,7.58,7.75,7.58,7.75,7.58,7.58,0.11
320,83.67,7.75,7.5,7.67,7.33,7.92,7.83,7.67,0.1
321,83.67,8.33,7.33,7.67,7.67,7.5,7.67,7.5,0.11
322,83.67,7.75,7.5,7.75,7.58,7.83,7.67,7.58,0.12
323,83.67,7.83,7.5,7.75,7.5,7.75,7.67,7.67,0.11
324,83.67,7.5,8.0,7.5,7.33,8.0,8.0,8.0,0.1
325,83.67,7.58,7.83,7.75,7.67,7.58,7.58,7.67,0.0
326,83.67,7.92,7.67,7.67,7.67,7.67,7.33,7.75,0.0
327,83.67,7.5,7.67,7.67,7.42,7.67,8.0,7.75,0.12
328,83.67,7.67,7.83,7.67,7.33,7.67,7.67,7.83,0.11
329,83.67,7.83,7.75,7.75,7.58,7.83,7.17,7.75,0.11
330,83.67,8.0,8.17,8.17,7.83,7.67,8.08,7.75,0.11
331,83.67,7.5,7.67,8.17,7.5,7.42,7.58,7.83,0.11
332,83.67,7.58,7.67,7.5,7.5,7.33,7.83,8.25,0.12
333,83.67,7.58,8.17,7.67,7.58,7.58,7.42,7.67,0.12
334,83.67,7.83,7.67,7.5,7.33,8.0,7.67,7.67,0.1
335,83.67,8.17,7.75,8.0,7.92,8.08,7.75,8.0,0.0
